ID	a-1	a-2	a-3	b-1	b-2	b-3	c-1	c-2	c-3	d-1	d-2	d-3
ENSG00000266460	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266461	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266466	0	0	0	4	0	0	0	0	4	1	0	1
ENSG00000293548	0	0	0	0	6	0	0	10	11	0	0	4
ENSG00000168291	4691	4801	5213	3999	3656	3471	6147	5285	4911	4181	4153	6069
ENSG00000270591	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000298038	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000289932	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000296706	0	0	0	0	0	0	5	0	2	0	4	2
ENSG00000225108	20	27	18	37	21	25	74	60	86	98	58	75
ENSG00000119138	438	581	615	192	221	187	2853	2638	2349	1828	1700	2556
ENSG00000225100	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225101	0	0	0	0	0	0	13	4	17	10	16	12
ENSG00000225102	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233579	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225105	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225106	0	0	0	0	0	0	3	0	0	0	2	2
ENSG00000225107	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226457	0	0	5	0	0	0	0	2	1	3	2	2
ENSG00000226455	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226454	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226453	0	0	0	0	0	0	26	30	38	18	18	22
ENSG00000252980	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141854	68	68	47	72	54	66	23	8	9	8	11	14
ENSG00000149798	4494	5576	5369	3130	3364	2527	277	267	264	212	196	264
ENSG00000293333	0	0	0	0	0	0	1	3	0	0	0	1
ENSG00000283571	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212153	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183055	2	8	0	2	2	0	14	8	16	3	5	0
ENSG00000283572	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283575	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000251079	0	0	1	0	0	0	3	3	2	4	5	5
ENSG00000283576	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283579	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283578	0	0	0	0	0	0	0	0	3	3	4	1
ENSG00000293331	0	3	0	5	0	2	0	6	1	0	5	7
ENSG00000250566	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273424	5	0	4	0	0	4	2	6	2	12	4	5
ENSG00000250564	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250562	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000250563	0	0	0	0	0	0	2	0	1	0	0	3
ENSG00000187961	489	499	549	451	371	406	723	663	613	529	524	689
ENSG00000250561	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201143	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250568	2	2	0	0	0	0	0	1	2	1	1	1
NewGene_100	0	0	0	0	0	0	0	0	4	4	0	1
ENSG00000281591	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000220685	0	2	0	0	18	2	33	20	29	6	19	26
ENSG00000162843	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000259247	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162849	3	8	0	3	14	3	128	151	114	220	204	328
ENSG00000286060	0	0	0	0	0	0	17	19	19	14	16	35
ENSG00000286061	5	3	0	8	0	0	8	0	3	2	0	0
ENSG00000286062	0	0	0	0	0	0	6	5	2	2	11	7
ENSG00000283688	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184702	275	48	268	312	95	384	81	187	141	222	275	255
ENSG00000259242	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286066	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286067	153	154	127	59	60	42	259	232	199	173	185	241
ENSG00000286068	0	0	0	0	0	2	0	2	0	2	0	0
ENSG00000286069	0	0	0	2	0	0	8	15	24	21	32	24
ENSG00000283680	0	0	0	0	0	0	0	0	0	0	0	0
NewGene_101	0	0	0	0	0	6	190	145	136	80	121	49
ENSG00000283685	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283684	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000304339	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000304338	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163462	152	112	138	110	94	70	251	208	182	257	228	327
ENSG00000163463	1665	1747	1612	1716	1667	2126	1195	1038	1095	936	948	1302
ENSG00000163464	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000163466	17073	17270	18137	10716	10108	11241	18826	16270	15601	13106	14286	17185
ENSG00000163467	18	8	14	26	18	13	42	27	19	22	32	39
ENSG00000163468	26551	26714	27287	34347	31700	33290	14960	13491	12771	9007	8754	12596
ENSG00000304330	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000304333	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000304332	68	79	57	43	54	63	180	181	197	147	167	213
ENSG00000304335	7	7	0	2	3	3	14	3	0	11	2	2
ENSG00000304334	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000304337	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000304336	0	5	0	12	11	4	0	4	7	13	5	12
ENSG00000309574	0	2	0	0	0	3	2	0	0	3	0	2
ENSG00000309575	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162599	10	23	40	58	44	35	1715	1399	1472	1222	1362	1719
ENSG00000309577	0	0	0	0	0	0	11	13	10	0	5	13
ENSG00000309570	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000309571	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000309572	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000309573	0	0	4	0	0	0	18	8	13	5	10	12
ENSG00000267731	0	0	0	0	0	0	2	10	1	7	8	5
ENSG00000206815	0	0	0	0	0	0	1	0	1	0	3	1
ENSG00000029364	907	961	976	1436	1121	1285	7458	6701	6445	4810	5471	7541
ENSG00000267732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267735	7	2	5	5	5	5	5	3	1	3	1	3
ENSG00000029363	906	853	997	577	577	617	10742	9964	9504	7365	8051	10193
ENSG00000162595	0	2	3	0	10	0	11	12	4	4	2	7
ENSG00000162594	0	0	0	0	0	0	3	0	0	9	2	1
ENSG00000263609	0	0	0	0	0	0	5	0	0	2	0	1
ENSG00000263608	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272384	2	0	0	0	0	0	29	8	11	11	4	5
ENSG00000118640	15138	15628	16147	8096	7541	8175	146	133	116	85	55	91
ENSG00000182601	0	0	0	0	0	0	53	58	85	74	86	107
ENSG00000263603	0	0	0	0	0	0	6	6	5	6	24	3
ENSG00000263602	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263604	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159961	0	0	0	0	0	0	21	19	23	15	24	37
ENSG00000259169	6	36	10	4	9	12	0	5	4	0	6	0
ENSG00000253144	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201467	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201466	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253141	0	5	0	0	2	0	20	6	31	8	0	8
ENSG00000115073	1072	1321	1332	1828	1476	1341	2592	2427	2415	1823	1593	2442
ENSG00000253143	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253142	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000259161	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000259160	0	0	0	0	0	0	0	0	0	0	0	0
NewGene_157	154	215	173	30	26	29	66	85	68	73	69	61
NewGene_156	0	0	0	0	0	0	3	7	9	9	3	9
ENSG00000201469	0	0	0	0	0	0	0	2	0	2	0	0
ENSG00000253148	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259167	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000241860	13	13	10	18	11	18	71	46	35	31	34	57
ENSG00000213853	2308	2280	2355	1444	1325	1382	2659	2386	2253	1827	1820	2588
ENSG00000213851	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000029534	1281	1351	1353	522	557	545	418	368	383	206	195	238
ENSG00000213857	0	0	0	0	0	2	0	0	1	0	1	0
ENSG00000213856	3	4	8	2	2	2	2	4	2	3	2	5
ENSG00000260640	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213854	0	0	0	0	0	0	3	2	0	0	0	2
ENSG00000213859	1074	1043	1113	1882	1735	1616	734	677	689	614	552	728
ENSG00000178773	590	605	527	1058	956	1055	209	222	212	161	149	148
NewGene_4340	0	0	0	0	0	0	0	0	6	0	2	0
ENSG00000225816	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280881	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225814	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225815	0	0	0	0	0	0	0	5	2	3	2	0
ENSG00000189212	0	0	0	0	0	0	7	0	10	0	0	0
ENSG00000225813	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225811	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206846	0	0	0	0	0	0	1	0	0	1	1	1
ENSG00000225818	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225819	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229306	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229307	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	7	0	0	0
ENSG00000229302	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229303	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238489	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229301	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293874	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238485	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238482	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229308	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229309	0	0	0	0	0	0	27	34	19	20	16	28
ENSG00000278072	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278073	0	0	0	0	0	1	1	1	1	0	1	0
ENSG00000278071	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240174	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278077	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278075	0	1	3	3	0	4	6	3	2	2	0	0
ENSG00000055070	11595	11282	11696	19907	18309	18786	11417	10033	9764	7707	7305	9281
ENSG00000278078	3	0	1	0	1	0	0	0	0	0	1	0
ENSG00000296263	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179899	79	103	65	66	34	41	293	338	331	277	293	395
ENSG00000227411	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155719	14	10	13	0	4	9	8	8	6	5	0	4
ENSG00000227413	0	0	0	0	0	0	1	0	0	4	3	3
ENSG00000302776	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227417	0	0	0	0	0	0	2	1	0	4	0	0
ENSG00000162337	6716	7202	6973	9867	9024	9133	3102	2973	2923	2342	2228	2811
ENSG00000269910	78	74	72	36	42	21	119	84	106	58	54	88
ENSG00000155714	0	0	0	3	4	0	0	4	7	3	5	8
ENSG00000244743	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240175	0	0	0	0	0	0	0	4	1	0	0	0
ENSG00000244740	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235843	0	0	0	0	0	0	1	0	0	0	1	3
ENSG00000244748	0	0	0	0	1	0	0	5	0	0	0	0
ENSG00000186704	90	53	61	34	26	30	41	36	52	16	83	23
ENSG00000251779	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251774	0	0	0	0	0	0	1	2	0	2	0	0
ENSG00000251595	4	1	5	9	1	2	46	96	38	37	56	110
ENSG00000251776	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274978	1	1	1	1	1	1	1	1	1	0	1	0
ENSG00000251770	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245293	4	0	0	4	1	1	60	67	70	56	47	32
ENSG00000298645	0	0	0	0	0	0	0	0	3	5	0	0
ENSG00000251773	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000292367	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164659	2	0	0	0	2	2	2347	1987	1840	1766	1558	2359
ENSG00000242748	0	2	0	0	0	0	4	5	6	6	0	4
ENSG00000243596	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259475	0	0	0	0	0	0	0	0	1	4	4	8
ENSG00000215450	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164651	0	0	0	2	8	4	0	0	0	1	0	0
ENSG00000242741	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164654	1569	1651	1885	832	708	718	1559	1519	1324	1073	1088	1537
ENSG00000114978	9040	9709	9942	7812	7306	7699	8976	8167	7665	6069	6650	8456
ENSG00000252236	0	0	0	0	0	2	0	1	0	0	0	0
ENSG00000305069	22	24	7	6	12	11	16	17	12	27	21	19
ENSG00000252230	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252231	0	0	0	0	0	0	1	0	0	0	2	1
ENSG00000206113	7	6	5	3	0	2	0	2	6	0	4	2
ENSG00000298204	2	0	1	1	3	6	2	4	0	1	2	7
ENSG00000252238	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308632	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215869	0	0	0	1	0	0	1	1	1	1	1	1
ENSG00000256925	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000161021	3308	3332	3500	2690	2254	2401	2490	2377	2252	1769	1797	2136
ENSG00000308634	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000226331	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261608	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256928	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308635	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254694	3	4	6	6	9	5	11	14	17	18	12	22
ENSG00000215864	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254697	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254690	0	1	0	0	0	0	0	0	1	0	1	1
ENSG00000308636	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266929	2	2	1	2	1	1	5	2	4	3	2	1
ENSG00000266928	0	0	1	0	0	0	22	8	23	21	11	8
ENSG00000305522	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266925	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000266924	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254698	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266922	0	0	0	0	1	0	0	2	0	2	0	0
ENSG00000266921	39	5	28	8	35	10	41	28	22	35	51	47
ENSG00000266920	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000257343	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000257342	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000257341	1	0	3	0	3	0	0	0	0	0	0	0
ENSG00000215867	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000289874	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000257346	0	0	0	0	0	0	2	0	1	2	2	5
ENSG00000257345	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000305066	0	0	0	0	0	0	0	0	0	4	0	2
ENSG00000234337	24	27	22	10	28	18	29	26	24	23	20	21
ENSG00000215861	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000119509	96	130	85	185	145	184	1067	984	1002	695	679	925
ENSG00000308096	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228949	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256699	0	0	0	0	0	0	2	2	2	0	0	3
ENSG00000228945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261600	3	0	0	11	12	18	72	99	57	25	36	88
ENSG00000228943	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256690	3	0	8	13	14	7	5	9	13	6	2	13
ENSG00000228940	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165309	0	7	2	15	18	5	1	0	0	0	0	0
ENSG00000281863	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000165304	2448	2406	2461	3001	2872	3072	3654	3251	3273	2220	2414	3467
ENSG00000165300	2	3	0	3	0	2	464	379	415	311	374	484
NewGene_2562	0	0	0	0	0	0	16	15	19	23	21	14
ENSG00000293546	0	7	2	0	3	3	17	9	27	23	14	31
ENSG00000101608	21113	20934	21723	9254	8971	9369	13949	12124	10963	9459	9797	13564
ENSG00000236792	12	4	3	0	1	1	18	14	16	14	5	11
ENSG00000121335	0	0	0	0	0	0	5	0	4	0	0	0
ENSG00000237026	0	0	0	0	0	0	1	1	3	0	0	3
ENSG00000198791	909	768	890	1327	1169	1322	5027	4517	4277	3478	3732	4827
ENSG00000198792	2588	2655	2497	2954	2695	2681	3716	3277	3372	2464	2203	2999
ENSG00000129472	1767	1799	2077	883	794	865	1971	1731	1572	1238	1345	1751
ENSG00000198795	0	0	0	0	0	0	1703	1404	1248	1082	1334	1474
ENSG00000197779	335	377	353	172	140	146	887	765	797	613	665	885
ENSG00000198797	27	17	20	28	12	20	19	9	14	2	13	8
ENSG00000198798	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197776	47	31	25	9	0	6	119	76	44	64	51	138
ENSG00000175550	21145	20803	18215	18246	17963	18777	3354	2910	2765	2345	2291	2579
ENSG00000231422	0	2	0	2	0	0	0	0	6	0	0	0
ENSG00000175556	723	681	601	699	662	763	90	37	68	53	39	63
ENSG00000197771	1633	1769	1855	1924	1675	1811	5577	4765	4577	3240	3408	4827
ENSG00000231421	0	0	0	3	0	0	2	0	0	0	0	0
ENSG00000279848	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000289487	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161682	118	92	135	170	154	179	166	131	156	161	181	217
ENSG00000240173	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000161681	102	166	182	34	25	30	502	456	407	315	355	375
ENSG00000279840	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279841	2	2	0	0	2	0	0	0	0	3	0	0
ENSG00000279842	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279844	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279845	0	0	0	1	0	0	7	9	7	3	6	8
ENSG00000279846	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179428	2	4	0	3	4	0	19	7	6	7	7	3
ENSG00000212051	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000185129	666	741	746	1295	1254	1355	2602	2267	2015	1770	1849	2511
ENSG00000284336	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000284337	8	3	58	41	0	6	3	7	6	2	3	8
ENSG00000284334	0	0	0	0	1	1	0	0	0	0	1	0
ENSG00000269752	3	3	0	0	0	0	0	0	0	3	0	0
ENSG00000284332	0	0	0	0	0	0	1	1	1	1	1	1
ENSG00000227719	0	0	2	0	0	0	30	26	23	25	14	25
ENSG00000284331	3	1	2	0	1	1	11	10	5	6	6	8
ENSG00000183864	3538	3339	3189	5389	5441	5665	2534	2517	2278	1909	1864	2224
ENSG00000183862	0	0	0	0	0	0	4	9	34	10	9	5
ENSG00000294976	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000277402	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000300916	0	0	0	0	0	0	2	0	0	0	4	0
ENSG00000167680	373	448	309	486	512	559	2288	1971	2144	1942	1643	1981
ENSG00000301203	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000124214	3360	3831	3784	1929	1778	2062	9749	8206	8062	6813	7081	8118
ENSG00000124215	0	0	6	2	0	0	2	6	0	3	14	5
ENSG00000124212	12	15	14	44	53	53	7	0	0	8	11	21
ENSG00000301207	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000247595	17	18	19	26	36	18	34	32	39	19	33	46
ENSG00000301205	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000259534	0	0	0	0	0	0	4	2	0	0	0	0
ENSG00000301208	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000301209	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000296982	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161970	49881	46833	45673	61634	59826	72026	29953	26249	24024	23516	23393	31914
ENSG00000175073	541	554	634	333	400	399	3109	2845	2599	1887	2050	2617
ENSG00000161973	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127884	5459	5620	5625	8188	8034	8092	3298	3243	2916	2272	1996	3149
ENSG00000255274	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255277	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000255276	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255271	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255270	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255273	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265625	0	1	1	0	0	0	5	4	0	0	0	2
ENSG00000276538	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160087	7617	8073	7595	8492	7957	8046	2681	2487	2325	1836	1843	2434
ENSG00000036054	428	516	569	244	298	230	3310	2938	2647	2027	2288	3023
ENSG00000226977	0	0	0	0	0	0	2	2	0	3	0	0
ENSG00000277900	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228349	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274178	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240237	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282935	0	0	0	0	0	0	1	0	4	2	1	5
ENSG00000301333	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293879	1	0	2	3	5	0	88	81	90	44	42	64
ENSG00000271122	29	48	42	105	73	102	1008	772	764	746	817	987
ENSG00000303864	1	4	4	0	0	1	0	0	0	0	0	0
ENSG00000002587	38	45	29	45	41	77	16	9	12	8	5	10
ENSG00000002586	2	1857	3024	1101	12	3	1598	1511	1369	1623	1409	435
ENSG00000277379	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000294973	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263590	2	0	7	14	2	2	187	6	8	142	3	211
NewGene_1344	0	0	0	0	0	0	2	0	0	2	3	0
NewGene_1345	22	34	23	36	23	38	63	48	53	38	42	60
NewGene_1347	14	24	16	3	0	5	0	0	0	0	0	0
NewGene_1340	0	0	0	0	0	0	0	0	0	5	0	0
NewGene_1341	0	0	0	0	0	0	25	22	5	2	5	6
NewGene_1342	0	2	0	0	0	2	0	0	0	0	0	0
NewGene_1343	51	51	88	83	63	45	827	755	558	439	565	784
ENSG00000296981	0	0	0	0	0	0	0	0	0	0	0	0
NewGene_1348	26	27	23	0	2	0	0	0	0	0	0	0
NewGene_1349	0	11	0	4	4	7	11	5	9	0	0	2
ENSG00000237868	3	3	6	19	2	2	2	4	1	0	3	5
ENSG00000177954	11258	9438	9043	11648	16794	18494	7074	5894	4979	8872	7013	9729
ENSG00000215418	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177951	4747	5046	4692	6475	5773	5674	3108	2705	2508	2044	2098	2621
ENSG00000280059	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267318	0	0	0	0	4	0	6	1	0	2	1	0
ENSG00000198242	10639	9647	10159	13026	14639	15391	32652	30719	25775	31912	25902	37586
ENSG00000280056	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280055	0	1	2	0	0	0	2	4	3	2	0	2
