category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,2/138,37/8538,0.05405405405405406,3.344300822561692,1.8316046387733123,0.11986065301878802,0.5201096193493837,0.45285697851083445,IL6/ICAM1,2
Metabolism,Metabolism of cofactors and vitamins,hsa00760,Nicotinate and nicotinamide metabolism,2/138,38/8538,0.05263157894736842,3.2562929061784898,1.786612442843123,0.12523734555759322,0.524701292594744,0.45685492662570315,NMNAT2/NMNAT3,2
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,2/138,38/8538,0.05263157894736842,3.2562929061784898,1.786612442843123,0.12523734555759322,0.524701292594744,0.45685492662570315,ZAP70/ICOS,2
Human Diseases,Immune disease,hsa05330,Allograft rejection,2/138,39/8538,0.05128205128205128,3.172798216276477,1.743092064892854,0.13067100197410678,0.538187347113694,0.46859717032641324,HLA-DRB1/HLA-DRB5,2
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,4/138,122/8538,0.03278688524590164,2.0285103349964366,1.4665208871885151,0.13499710032673223,0.541234108545576,0.47124997105332805,MAPK13/CSF2/ZAP70/ICOS,4
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,5/138,168/8538,0.02976190476190476,1.8413561076604552,1.4116411329017486,0.13586535235094704,0.541234108545576,0.47124997105332805,IL24/IL6/CSF2/IL22RA2/STAT4,5
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,2/138,41/8538,0.04878048780487805,3.0180275715800637,1.6601172247278952,0.14169645483788185,0.5512386170048603,0.47996084911404346,MMP1/CXCL8,2
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,3/138,81/8538,0.037037037037037035,2.2914653784219,1.4968202609243886,0.1429137155197786,0.5512386170048603,0.47996084911404346,HLA-DRB1/KLRD1/HLA-DRB5,3
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,2/138,42/8538,0.047619047619047616,2.9461697722567286,1.6205060510893783,0.14728209228062564,0.5592116941280004,0.48690296954614726,SLC7A11/MAP1LC3C,2
Metabolism,Energy metabolism,hsa00920,Sulfur metabolism,1/138,10/8538,0.1,6.186956521739131,2.1034953325249335,0.15044065143053942,0.5624165891941705,0.489693456478355,SELENBP1,1
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,2/138,44/8538,0.045454545454545456,2.812252964426878,1.544690834428493,0.15858442180845747,0.5838790075675024,0.5083806823524712,HLA-DRB1/HLA-DRB5,2
Organismal Systems,Sensory system,hsa04742,Taste transduction,3/138,86/8538,0.03488372093023256,2.1582406471183013,1.383632721996727,0.16211919413804693,0.5879845399335135,0.511955349909622,HTR3A/HCN4/HTR1D,3
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,4/138,132/8538,0.030303030303030304,1.8748353096179184,1.2982882217141118,0.16504477851645727,0.5897923702867517,0.5135294192230327,MAOA/MAPK13/MAOB/KCNJ6,4
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,3/138,88/8538,0.03409090909090909,2.109189723320158,1.3405140174226273,0.17001125575550538,0.5947464502149715,0.5178429131176491,SERPINB2/F13A1/C4A,3
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,4/138,134/8538,0.029850746268656716,1.8468526930564568,1.2663967612027012,0.17132613792200824,0.5947464502149715,0.5178429131176491,CSF2/ZAP70/KLRD1/ICAM1,4
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,3/138,89/8538,0.033707865168539325,2.0854909623839766,1.319383659582019,0.17399875682163385,0.5955168719388313,0.5185137156582418,LAMC2/COL4A6/COL4A3,3
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,4/138,138/8538,0.028985507246376812,1.7933207309388783,1.2042072689352181,0.1841347929038144,0.6156314000351958,0.5360273398617039,CXCL8/IL6/MAPK13/ZAP70,4
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,4/138,139/8538,0.02877697841726619,1.7804191429465124,1.1889786714190982,0.18738578655961668,0.6156314000351958,0.5360273398617039,KRT17/KRT34/KRT15/KCNJ6,4
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,2/138,49/8538,0.04081632653061224,2.5252883762200526,1.3723796662540626,0.18747622881730241,0.6156314000351958,0.5360273398617039,MAOA/MAOB,2
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,2/138,50/8538,0.04,2.474782608695652,1.3404877982023966,0.19334295552384567,0.6181886604249276,0.5382539343530884,MAOA/MAOB,2
Metabolism,Carbohydrate metabolism,hsa00520,Amino sugar and nucleotide sugar metabolism,2/138,50/8538,0.04,2.474782608695652,1.3404877982023966,0.19334295552384567,0.6181886604249276,0.5382539343530884,HKDC1/CYB5R2,2
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,4/138,144/8538,0.027777777777777776,1.718599033816425,1.1146433604735193,0.20391293400877747,0.6435174410926354,0.5603075835374474,MAPK13/INHBE/WNT6/ZIC3,4
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,3/138,97/8538,0.030927835051546393,1.9134917077543705,1.1597010951023294,0.20678040561517283,0.6442004944165,0.5609023148265821,KCNJ6/CACNA1I/ADCYAP1R1,3
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,7/138,300/8538,0.023333333333333334,1.443623188405797,1.0025741743701875,0.2117351438166541,0.6466006770473797,0.5629921424584073,MAPK13/AREG/PLA2G4B/PTPN7/ANGPT2/PGF/CACNA1I,7
Metabolism,Metabolism of cofactors and vitamins,hsa00730,Thiamine metabolism,1/138,15/8538,0.06666666666666667,4.12463768115942,1.5523927004506963,0.2170046378326228,0.6466006770473797,0.5629921424584073,ALPL,1
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,2/138,54/8538,0.037037037037037035,2.2914653784219,1.22020235536083,0.21702549250125616,0.6466006770473797,0.5629921424584073,HLA-DRB1/HLA-DRB5,2
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,4/138,149/8538,0.026845637583892617,1.6609279252990954,1.0431449977597642,0.22085537528778812,0.6466006770473797,0.5629921424584073,CXCL8/PLA2G4B/CYTH4/DGKG,4
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,4/138,149/8538,0.026845637583892617,1.6609279252990954,1.0431449977597642,0.22085537528778812,0.6466006770473797,0.5629921424584073,MAPK13/PTGS2/KCNJ6/GABRG1,4
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,8/138,362/8538,0.022099447513812154,1.3672832092241172,0.9152451986798054,0.23106098297225777,0.6468434277237026,0.5632035043208329,IL6/LAMC2/AREG/COL4A6/COL4A3/ANGPT2/PGF/MYB,8
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,5/138,203/8538,0.024630541871921183,1.5238809166845149,0.968234016706275,0.2312667760623599,0.6468434277237026,0.5632035043208329,BIRC3/LAMC2/COL4A6/COL4A3/PGF,5
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,3/138,103/8538,0.02912621359223301,1.8020261713803294,1.0495838752039701,0.23221900620280428,0.6468434277237026,0.5632035043208329,GPAT3/PLA2G4B/DGKG,3
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,3/138,103/8538,0.02912621359223301,1.8020261713803294,1.0495838752039701,0.23221900620280428,0.6468434277237026,0.5632035043208329,CXCL8/IL6/MAPK13,3
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,5/138,204/8538,0.024509803921568627,1.5164109121909632,0.9568333129381218,0.23424782567771948,0.6468434277237026,0.5632035043208329,IL6/MAPK13/HLA-DRB1/HLA-DRB5/ICAM1,5
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,2/138,58/8538,0.034482758620689655,2.1334332833583205,1.1101063147726702,0.24095057089814287,0.6535557462543048,0.5690478882266202,CMPK2/UPB1,2
Metabolism,Metabolism of other amino acids,hsa00430,Taurine and hypotaurine metabolism,1/138,17/8538,0.058823529411764705,3.639386189258312,1.396158288148635,0.24215653856996278,0.6535557462543048,0.5690478882266202,FMO1,1
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,2/138,59/8538,0.03389830508474576,2.097273397199705,1.0839795253852116,0.24695489034934046,0.6535557462543048,0.5690478882266202,CHAC1/ANPEP,2
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,4/138,157/8538,0.025477707006369428,1.5762946552201607,0.9341121877607164,0.24869672041887686,0.6535557462543048,0.5690478882266202,CD24/SIRPB1/MAPK13/PTGS2,4
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,3/138,108/8538,0.027777777777777776,1.718599033816425,0.9632461020900486,0.2538353114181832,0.6535557462543048,0.5690478882266202,INHBE/GDF6/BMP6,3
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,10/138,483/8538,0.020703933747412008,1.2809433792420561,0.8147270501538159,0.2541554185780138,0.6535557462543048,0.5690478882266202,IL6/MAPK13/DKK1/NOX4/PTGS2/MAP1LC3C/DNAH3/DNAH8/WNT6/SEPTIN5,10
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,4/138,159/8538,0.025157232704402517,1.556467049494121,0.907808952003926,0.2557773691245535,0.6535557462543048,0.5690478882266202,ATP6V0D2/HLA-DRB1/CLEC7A/HLA-DRB5,4
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,3/138,109/8538,0.027522935779816515,1.7028320702034305,0.9465189930897216,0.25819486271775005,0.6535557462543048,0.5690478882266202,CXCL8/IL6/MAPK13,3
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,3/138,110/8538,0.02727272727272727,1.6873517786561265,0.9299630235349946,0.2625647726905167,0.6577653583896449,0.5727131775452399,HKDC1/IL6/ANGPT2,3
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,4/138,163/8538,0.024539877300613498,1.5182715390770871,0.8562711177589616,0.2700601427756872,0.6585558634305082,0.5734014665346856,CXCL8/IL6/MAPK13/STAT4,4
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,2/138,63/8538,0.031746031746031744,1.9641131815044859,0.9844212565175063,0.2710106433870404,0.6585558634305082,0.5734014665346856,HSD11B1/HSD17B2,2
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,2/138,63/8538,0.031746031746031744,1.9641131815044859,0.9844212565175063,0.2710106433870404,0.6585558634305082,0.5734014665346856,GLI1/WNT6,2
Metabolism,Lipid metabolism,hsa00100,Steroid biosynthesis,1/138,20/8538,0.05,3.0934782608695657,1.2013434263062184,0.2783880892943672,0.6632186833189336,0.5774613616941983,CYP24A1,1
Metabolism,Metabolism of cofactors and vitamins,hsa00785,Lipoic acid metabolism,1/138,20/8538,0.05,3.0934782608695657,1.2013434263062184,0.2783880892943672,0.6632186833189336,0.5774613616941983,GLDC,1
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,3/138,116/8538,0.02586206896551724,1.6000749625187405,0.8340256812944307,0.28896160494258283,0.6775707188521229,0.5899576109563643,MAPK13/CDH5/ICAM1,3
Metabolism,Metabolism of cofactors and vitamins,hsa00770,Pantothenate and CoA biosynthesis,1/138,21/8538,0.047619047619047616,2.9461697722567286,1.1444572836625417,0.29007891386320694,0.6775707188521229,0.5899576109563643,UPB1,1
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,7/138,333/8538,0.021021021021021023,1.3005614309962137,0.7170816592274543,0.292777471108942,0.6775707188521229,0.5899576109563643,OASL/LAMC2/COL4A6/ATP6V0D2/COL4A3/PTGS2/WNT6,7
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,5/138,224/8538,0.022321428571428572,1.3810170807453417,0.7406550446847836,0.29585640911475036,0.6782368624045692,0.5905376189877342,IL6/HLA-DRB1/CSF2/HLA-DRB5/ICAM1,5
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,2/138,68/8538,0.029411764705882353,1.819693094629156,0.8697943225095066,0.3010466012109102,0.6788799671979923,0.591097567280903,DHRS9/ALDH1A2,2
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,3/138,120/8538,0.025,1.5467391304347828,0.7730700724141677,0.3066777811247982,0.6788799671979923,0.591097567280903,IRAK2/MAPK13/TP73,3
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,2/138,69/8538,0.028985507246376812,1.7933207309388783,0.8480272799323035,0.3070346205160731,0.6788799671979923,0.591097567280903,MAOA/MAOB,2
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,4/138,174/8538,0.022988505747126436,1.422288855572214,0.721322988375486,0.3099871037303433,0.6788799671979923,0.591097567280903,APCDD1/DKK1/SFRP4/WNT6,4
