category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,39/4046,56/8538,0.6964285714285714,1.469626085728409,3.346129907759192,6.065304878227336e-4,0.017675040777396372,0.014237103784081292,IL18/RELA/RAB1B/VCP/HSPD1/CXCL8/HSPA1B/NFKB2/HSPA1A/ARF1/NFKBIA/BNIP3/CASP1/MYD88/PYCARD/NFKB1/IL6/HSPA6/CASP9/TNF/CXCL1/HSF1/EEF1G/EEF1A2/ITGAM/CLK1/IL1B/APAF1/TLR2/CXCL2/NAIP/CLK4/TLR4/ITGB2/IL12A/TLR5/HSPA1L/IL12B/NLRC4,39
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,60/4046,93/8538,0.6451612903225806,1.3614402117583275,3.326012074187645,6.147840270398739e-4,0.017675040777396372,0.014237103784081292,HLA-DPA1/STAT1/IFNGR2/JUN/RELA/NFKBIE/STAT5A/DLL3/IL4R/NOTCH2/NFKBIB/JAG1/NFKBIA/RBPJ/MAPK11/IL2RG/IFNGR1/HLA-DMA/MAML2/NFATC1/JAK2/NFKB1/MAPK1/JAG2/IKBKG/DLL4/MAML1/NFATC3/PPP3CA/HLA-DMB/STAT5B/PPP3R1/CD4/MAPK14/DLL1/HLA-DPB1/NOTCH3/HLA-DRA/GATA3/HLA-DOA/HLA-DRB1/IL12RB1/PRKCQ/STAT4/JAK3/IL12A/MAPK10/MAF/HLA-DRB5/NFATC2/IL2RB/IL12RB2/LCK/HLA-DOB/CD3D/IL12B/HLA-DQB1/RUNX3/HLA-DQA2/TBX21,60
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,52/4046,79/8538,0.6582278481012658,1.389013684401534,3.2965875805242892,6.955279337523225e-4,0.018458241318811637,0.014867965547418068,MARCKSL1/HLA-DPA1/STAT1/IFNGR2/JUN/RELA/ELK1/IRAK1/NFKBIB/MAP3K7/ITGB1/NFKBIA/TAB2/MAPK11/IFNGR1/HLA-DMA/MYD88/JAK2/NFKB1/MAPK1/PTPN6/TGFB2/TNF/HLA-DMB/EEF1A2/MAPK14/ITGAM/IL1B/TLR2/HLA-DPB1/TRAF6/ITGA4/HLA-DRA/CYBA/TGFB3/PRKCB/TLR4/IL1A/HLA-DOA/HLA-DRB1/PTGS2/ITGB2/IL12A/NCF4/HLA-DRB5/FCGR2A/HLA-DOB/IL12B/HLA-DQB1/HLA-DQA2/FCGR2C/CYBB,52
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,103/4046,173/8538,0.5953757225433526,1.2563810971515434,3.2331197218996164,7.942880476285543e-4,0.019573526887989374,0.01576631914089762,HLA-DPA1/STAT1/IFNGR2/KPNA1/MAP2K1/IL18/RELA/DNAJB1/ICAM1/MX1/BAK1/OAS2/ACTG1/BID/CCL5/OAS1/AKT3/CXCL8/TRIM25/AKT2/KPNA2/NFKBIB/STAT2/SOCS3/CDK6/MX2/NFKBIA/TNFRSF10A/MAP2K2/SLC25A5/CDK4/CASP1/IRF3/FADD/RAE1/IFNGR1/HLA-DMA/EP300/MYD88/NXT1/TICAM1/TNFSF10/FAS/PIK3R1/IFNAR2/PYCARD/XPO1/CCL2/RAB11B/JAK2/NFKB1/MAPK1/ADAR/EIF2AK2/PRSS3/NXF3/IKBKG/DNAJC3/CCND3/PIK3CD/PRKCA/IL6/CASP9/CPSF4/PIK3CA/TNF/KPNA6/CIITA/HLA-DMB/PML/TMPRSS2/RNASEL/IRF9/IL1B/APAF1/HLA-DPB1/NLRX1/IRF7/HLA-DRA/TLR3/PRKCB/TRADD/TLR4/IL1A/CXCL10/HLA-DOA/HLA-DRB1/NXF2/KPNA7/PRSS2/TLR7/IL12A/KPNA5/HLA-DRB5/IFNB1/PRSS1/HLA-DOB/IL12B/TPSB2/HLA-DQB1/TPSD1/HLA-DQA2/TMPRSS4,103
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,43/4046,64/8538,0.671875,1.417812345526446,3.1839975997060006,0.0010562649251700906,0.024294093278912084,0.01956869756104589,PSIP1/SUPT5H/PDCD6IP/MX1/SAMHD1/AFF4/HGS/RANBP2/BST2/MX2/MAP1B/NUP153/NELFE/CPSF6/CHMP4B/CCNT1/FURIN/EP300/RAN/MAP1A/MLLT3/KAT2B/MDFIC/XPO1/BICD2/CHMP6/BICD1/ELL/TNPO3/ELL2/TRIM5/CCNT2/CHMP4A/CD4/PIN1/MAP1S/SERINC5/NELFCD/APOBEC3D/CXCR4/ELL3/APOBEC3H/CCR5,43
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,129/4046,224/8538,0.5758928571428571,1.2152677247369534,3.0984438180850526,0.0012210305920738963,0.02632847214159339,0.021207373441283463,HLA-DPA1/ATF4/CDC27/MAP2K1/RELB/DLG1/JUN/RELA/TGFBR1/ELK1/ICAM1/CDKN1A/MAP3K14/NRP1/STAT5A/FOSL1/MYC/ZFP36/CREB3L2/CREB3/AKT3/VDAC2/SMAD3/AKT2/RB1/HLA-E/TERT/BCL2L1/ANAPC11/NFKB2/CCND1/ATM/HRAS/NFKBIA/ETS2/MAP2K2/SLC25A5/CDK4/KAT5/CCND2/CSF2/IL2RG/CCNE1/ANAPC16/EGR1/ELK4/HLA-B/HLA-DMA/EP300/RAN/ATF2/TSPO/SMAD4/NFATC1/KAT2B/PIK3R1/XPO1/NFKB1/MAPK1/BUB1B/NFATC4/SMAD2/SLC2A1/IKBKG/IL1R1/HLA-F/CDK2/TRRAP/TGFB2/CCND3/ANAPC4/CCNA2/PIK3CD/CRTC2/IL6/SRF/PIK3CA/ANAPC7/CCNB2/TNF/NFATC3/PPP3CA/HLA-DMB/MAP3K1/MSX1/STAT5B/PPP3R1/LTBR/CD4/MSX2/NFYB/CRTC3/TLN2/CREB1/CREB5/ADCY1/ADCY2/CDKN2C/HLA-DPB1/TBP/E2F2/MAP2K4/HLA-DRA/CDKN2B/CCNA1/TGFB3/CDC26/CREB3L4/CREB3L1/LTA/CDKN2A/HLA-DOA/HLA-DRB1/JAK3/ITGB2/MAPK10/HLA-DRB5/NFATC2/IL2RB/LCK/CCNE2/HLA-DOB/CD3D/MMP7/HLA-DQB1/HLA-DQA2/IL1R2/ADCY8/TNFRSF13C,129
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,60/4046,95/8538,0.631578947368421,1.3327783125634154,3.0953811202039914,0.0013550312949351918,0.027499164514861243,0.02215035677169602,MMP1/HLA-DPA1/CTSL/IL18/JUN/ICAM1/CCL5/TCIRG1/ATP6V0B/ATP6V0E1/CCL20/CXCL8/ATP6AP1/CSF1/ATP6V1A/TNFRSF11A/CSF2/IL23A/HLA-DMA/CCL2/ATP6V0C/ATP6V1F/CTSK/TGFB2/IL6/ACP5/TNF/HLA-DMB/CXCL1/ATP6V0E2/CCL3/LTB/ANGPT1/IL1B/TLR2/HLA-DPB1/HLA-DRA/CCL3L1/TGFB3/CXCL2/TNFSF13/TLR4/IL1A/TNFSF13B/HLA-DOA/HLA-DRB1/ITGB2/CTLA4/HLA-DRB5/ATP6V0A4/IL11/ATP6V1C2/TEK/HLA-DOB/HLA-DQB1/TNFSF11/HLA-DQA2/MMP3/CD80/CD28,60
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,143/4046,252/8538,0.5674603174603174,1.1974731068898146,3.019822878965743,0.0015634481886065287,0.029445267984912742,0.023717927530181433,SNX3/EHD1/AP2M1/ARPC4/IST1/NEDD4L/CAV2/SNF8/ARRB1/PDCD6IP/CLTA/ARPC1A/TGFBR1/CLTC/TFRC/CAPZB/AP2A2/ARPC1B/CLTB/CAPZA1/SPART/RAB35/MDM2/ARFGEF1/HGS/SMAD3/VPS37B/SPG21/HLA-E/WASHC4/CYTH4/SNX12/HSPA1B/PRKCZ/EEA1/ARF3/WIPF1/EHD4/HSPA1A/LDLR/BIN1/HRAS/ARF1/GRK6/CYTH1/CHMP2A/KIF5B/USP8/ARFGEF2/ZFYVE16/IL2RG/ARFGAP2/EHD3/SMURF1/VPS28/RAB11FIP5/CHMP4B/EPS15/HLA-B/ARRB2/ASAP2/GIT1/PLD2/SNX2/RAB10/WASHC5/GRK2/GIT2/VPS45/RAB11B/ACAP2/RAB11FIP2/SMAP2/SNX6/VPS36/SMAD2/EPN2/CHMP6/RABEP1/ARFGAP1/HLA-F/ARF5/PLD1/RNF41/AGAP3/ASAP1/VPS29/HSPA6/ARAP3/RUFY2/ARAP1/PSD3/MVB12B/GRK5/PARD6B/WASHC2C/WWP1/WASHC2A/CHMP4A/PML/VPS37C/AGAP6/ARFGAP3/AGAP4/SNX32/RAB11FIP4/PRKCI/CLTCL1/WASL/CBLB/GRK3/TRAF6/PARD6A/DNM3/PARD3/RAB11FIP1/PIP5KL1/ASAP3/CHMP4C/SH3GL2/VPS37D/AMPH/PDGFRA/AGAP9/CXCR4/SH3GL3/PSD/PIP5K1B/KIF5A/ACTR3B/ACTR3C/KIF5C/IL2RB/FGFR2/FOLR1/HSPA1L/AGAP5/GRK1/CBLC/WIPF3/PSD2/CCR5/CXCR2,143
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,31/4046,44/8538,0.7045454545454546,1.4867545948860827,3.0720337025834294,0.0016216234542415712,0.029445267984912742,0.023717927530181433,HLA-DPA1/HSPD1/HLA-E/HLA-B/HLA-DMA/FAS/PTPRN2/HLA-F/TNF/HLA-DMB/CPE/IL1B/HLA-DPB1/HLA-DRA/GAD1/IL1A/LTA/HLA-DOA/HLA-DRB1/ICA1/IL12A/HLA-DRB5/HLA-DOB/IL12B/HLA-DQB1/HLA-DQA2/GAD2/PRF1/GZMB/CD80/CD28,31
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,54/4046,85/8538,0.6352941176470588,1.340618184990259,2.9951430192179282,0.001907820149170606,0.03290989757319295,0.02650865891479158,PNP/UPP1/NT5E/AMPD3/DCTPP1/AK3/NME2/NME1/TYMP/ENTPD6/RRM2B/NME3/CTPS1/ENTPD4/UCK2/IMPDH1/NT5C3B/ADA/DTYMK/CANT1/HPRT1/AK6/HDDC2/AK4/ENTPD1/ITPA/RRM1/GUK1/DGUOK/TK1/GMPR2/UCKL1/AK1/RRM2/NME6/CMPK2/CDA/LACC1/NME1-NME2/ENTPD5/GDA/XDH/AK9/ENTPD8/ENTPD2/CTPS2/AK5/ENTPD3/ASMTL/ENPP3/GMPR/NT5M/ADA2/NT5C1A,54
Genetic Information Processing,Replication and repair,hsa03440,Homologous recombination,29/4046,41/8538,0.7073170731707317,1.4926033541106543,3.0005591329914294,0.002074386025630749,0.03407919899250516,0.027450521842933225,TOPBP1/RAD50/RPA2/ATM/BRCA1/TOP3A/SSBP1/BRIP1/NBN/BRCA2/PALB2/RAD51/POLD2/RPA3/RAD51D/POLD4/MUS81/ABRAXAS1/MRE11/XRCC3/XRCC2/RAD51C/RAD52/BLM/BARD1/BRCC3/EME1/SYCP3/RPA4,29
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,93/4046,158/8538,0.5886075949367089,1.2420987754744488,2.9150421116447034,0.0022879317321857144,0.035878929436548704,0.028900190301293236,HLA-DPA1/NEO1/CLDN4/PTPRM/SDC4/ICAM1/F11R/ESAM/PVR/HLA-E/GLG1/ITGB1/CLDN1/NECTIN2/CLDN7/ICOSLG/HLA-B/HLA-DMA/SDC2/CLDN12/CLDN18/HLA-F/ALCAM/NECTIN3/CADM3/CDH2/CDH4/NCAM1/LRRC4B/HLA-DMB/MPZ/CD4/ITGAM/CD274/CNTNAP2/SELE/CD22/PDCD1LG2/SELPLG/HLA-DPB1/SLITRK2/NFASC/ITGA4/NECTIN1/HLA-DRA/JAM2/SPN/ICAM3/PECAM1/NLGN4X/SLITRK5/SLITRK4/NLGN4Y/PTPRD/NTNG1/NRXN3/SELL/HLA-DOA/HLA-DRB1/ICAM2/SLITRK6/IGSF11/VCAN/NCAM2/ITGB2/CDH3/LRRC4C/NRCAM/CTLA4/HLA-DRB5/CD226/NLGN3/CLDN6/CLDN3/HLA-DOB/CD8A/NEGR1/HLA-DQB1/CLDN9/VTCN1/CLDN16/CLDN20/CD34/HLA-DQA2/LRRC4/PTPRC/CDH1/ICOS/ITGB7/CLDN10/CD80/CD28/TIGIT,93
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,117/4046,204/8538,0.5735294117647058,1.2102803058939837,2.884912476420228,0.0024497838492644176,0.03674675773896626,0.029599219048320653,HLA-DPA1/STAT1/TAP1/HES1/RELB/JUN/RELA/ICAM1/GADD45A/BAK1/OAS2/CDKN1A/CD44/ISG15/NFKBIE/MAP3K14/MYC/BID/MDM2/IRAK1/OAS1/TAPBP/AKT3/AKT2/RB1/PSMD13/HLA-E/PSMD8/PSMD4/NFKBIB/STAT2/MAP3K7/ADRM1/NFKB2/PSMC4/CCND1/PSMD2/CDK6/NFKBIA/TAB2/RBPJ/CDK4/CCND2/MAPK11/IRF3/CCNE1/FADD/PSMD3/HLA-B/HLA-DMA/GADD45B/MYD88/PSMD1/FAS/PIK3R1/IFNAR2/SKP2/PSMD11/NFKB1/SYK/TRAF2/EIF2AK2/ENTPD1/IKBKG/HLA-F/SNW1/LYN/PSMD14/CDKN1B/CDK2/CCND3/CCNA2/PIK3CD/SIN3A/IL6/CASP9/PIK3CA/CIR1/TNF/POLK/HDAC2/HLA-DMB/TNFAIP3/BCL2L11/MAPK14/IRF9/APAF1/TLR2/HLA-DPB1/TRAF6/E2F2/MAP2K4/TRAF5/IRF7/HLA-DRA/CCNA1/BCL2/TRADD/GADD45G/CXCL10/HLA-DOA/HLA-DRB1/ENTPD8/MAP2K6/JAK3/MAPK10/HLA-DRB5/BLNK/IFNB1/ENTPD3/CCNE2/HLA-DOB/CD3D/HLA-DQB1/RUNX3/HLA-DQA2/BTK,117
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,62/4046,101/8538,0.6138613861386139,1.295390142078963,2.8340555997580665,0.0030974671523134,0.04452609031450513,0.0358654091320499,STAT1/MMP2/JUN/RELA/COL4A1/TGFBR1/ICAM1/STAT5A/SERPINE1/AKT3/CXCL8/SMAD3/AKT2/PRKCD/PRKCZ/PIM1/CCND1/HRAS/CDK4/MAPK11/EGR1/PLCE1/SMAD4/NFATC1/PLCB4/PIK3R1/COL4A5/CCL2/JAK2/NFKB1/MAPK1/SMAD2/F3/CDKN1B/TGFB2/PIK3CD/PRKCA/IL6/PIK3CA/TNF/AGT/EDN1/STAT5B/MAPK14/SELE/IL1B/PRKCE/COL3A1/THBD/COL4A6/TGFB3/PRKCB/BCL2/FN1/IL1A/FOXO1/MAPK10/COL4A3/AGER/NOX4/VEGFD/CYBB,62
